date;close;volume;open;high;low;Roc close
14/06/2017;213.8400;5421438.0000;213.7800;214.0000;212.9800;
13/06/2017;213.3700;2426620.0000;212.8000;213.3900;212.7500;
12/06/2017;212.4000;3681687.0000;212.4600;212.7800;211.8800;
09/06/2017;212.6700;4271003.0000;212.1500;213.0700;211.5900;
08/06/2017;211.8600;2027241.0000;211.6200;212.6990;211.3900;
07/06/2017;211.7200;1545878.0000;211.6900;211.9200;211.1400;
06/06/2017;211.3700;2094951.0000;211.3300;211.7800;211.1700;
05/06/2017;211.8600;1922993.0000;211.8600;212.2050;211.6400;
02/06/2017;211.9100;2313311.0000;211.4500;212.2100;211.2700;
01/06/2017;211.4000;1825224.0000;210.2700;211.4000;209.9100;
31/05/2017;210.0000;1577436.0000;210.4100;210.4100;209.3200;
30/05/2017;210.2100;1065974.0000;210.2100;210.5200;209.9700;
26/05/2017;210.5400;1150567.0000;210.5400;210.7190;210.3200;
25/05/2017;210.5800;2198248.0000;210.5200;210.9200;210.3000;
24/05/2017;209.8200;3481387.0000;209.3200;209.9600;209.0750;
23/05/2017;209.1200;3457529.0000;209.1000;209.3500;208.6900;
22/05/2017;208.6500;2244062.0000;208.3200;208.8700;208.3200;
19/05/2017;207.7700;4888894.0000;206.7500;208.3100;206.5800;
18/05/2017;206.9600;6648506.0000;206.0300;207.9600;205.8550;
17/05/2017;206.4700;5713454.0000;208.1200;208.5900;206.3700;
16/05/2017;209.9500;1734840.0000;210.3200;210.4600;209.4600;
15/05/2017;209.9300;1817692.0000;209.4000;210.1300;209.4000;
12/05/2017;209.0100;1575490.0000;208.9700;209.2800;208.8200;
11/05/2017;209.2800;3092363.0000;209.1400;209.4500;208.1000;
10/05/2017;209.4800;1393649.0000;209.1900;209.8100;208.9000;
09/05/2017;209.6200;1569284.0000;210.1400;210.3200;209.2231;
08/05/2017;209.9200;2310733.0000;209.7000;210.0200;209.5300;
05/05/2017;209.7700;1666539.0000;209.0700;209.7800;208.7600;
04/05/2017;209.1900;2640052.0000;209.6500;209.6500;208.1980;
03/05/2017;209.2200;1826055.0000;208.8700;209.4700;208.4700;
02/05/2017;209.1300;1353455.0000;209.1000;209.3000;208.7540;
01/05/2017;208.9200;1885489.0000;209.4900;209.4900;208.7000;
28/04/2017;209.0800;1933465.0000;209.6300;209.6300;208.9700;
27/04/2017;209.5600;1947609.0000;209.7300;209.7700;209.0600;
26/04/2017;209.4700;2862333.0000;209.8100;210.4300;209.4400;
25/04/2017;209.6800;3476055.0000;208.9500;209.9800;208.8400;
24/04/2017;207.3800;3219455.0000;207.3300;207.6300;207.0300;
21/04/2017;205.2500;3031984.0000;205.5100;205.7284;204.7700;
20/04/2017;205.7000;3870163.0000;204.3500;206.2100;204.1700;
19/04/2017;203.8500;3605613.0000;205.2600;205.3000;203.6400;
18/04/2017;205.0800;2494569.0000;205.3600;205.8100;204.4200;
17/04/2017;206.1700;2246142.0000;204.9300;206.2600;204.8600;
13/04/2017;204.3700;3604029.0000;205.3400;205.9400;204.3600;
12/04/2017;205.6700;2171229.0000;206.3000;206.3000;205.3500;
11/04/2017;206.3300;3511450.0000;206.2200;206.4200;204.9400;
10/04/2017;206.3900;2395011.0000;206.4900;207.3200;205.9500;
07/04/2017;206.3800;2608490.0000;206.1900;207.0700;205.8900;
06/04/2017;206.4500;3186338.0000;206.4500;207.2900;205.9200;
05/04/2017;206.2600;4109181.0000;207.5900;208.6500;206.1600;
04/04/2017;206.6500;2554227.0000;206.0200;206.7700;205.8100;
03/04/2017;206.2500;4435042.0000;206.5200;206.6300;204.8800;
31/03/2017;206.3400;4179509.0000;206.7200;206.9300;206.3000;
30/03/2017;206.9600;2849212.0000;206.3000;207.2600;206.1500;
29/03/2017;206.3100;2323350.0000;206.5300;206.5600;205.9450;
28/03/2017;206.7500;3537018.0000;205.0800;207.0700;204.9100;
27/03/2017;205.2300;4558429.0000;204.1800;205.5050;203.8100;
24/03/2017;205.7500;4052419.0000;206.5800;206.9000;205.0000;
23/03/2017;206.3100;3839103.0000;206.0300;207.3000;205.9100;
22/03/2017;206.4100;3896552.0000;205.9600;206.5700;205.5007;
21/03/2017;206.3500;6190696.0000;209.3300;209.4300;206.2500;
20/03/2017;208.8136;3308071.0000;208.8500;209.2700;208.5600;
17/03/2017;208.8600;2872189.0000;209.5300;209.5300;208.8300;
16/03/2017;209.4400;3018333.0000;210.1700;210.1700;209.0500;
15/03/2017;209.5800;5735921.0000;208.8300;209.9100;208.7101;
14/03/2017;208.5400;4432261.0000;208.5700;208.8800;207.9800;
13/03/2017;208.9400;2261485.0000;209.1300;209.3400;208.5850;
10/03/2017;209.1500;3003609.0000;209.6900;209.7000;208.3600;
09/03/2017;208.6700;4423957.0000;208.7400;209.0900;207.8680;
08/03/2017;208.6100;3170815.0000;209.5800;209.6100;208.4300;
07/03/2017;209.1700;2736225.0000;209.2100;209.6600;208.9750;
06/03/2017;209.4800;2523023.0000;209.2600;209.7700;209.0200;
03/03/2017;209.9100;2588781.0000;210.0600;210.3200;209.4100;
02/03/2017;209.8900;3335258.0000;211.1900;211.1900;209.8400;
01/03/2017;211.0200;7844942.0000;209.9200;211.5900;209.8800;
28/02/2017;207.9800;2814774.0000;208.1100;208.3100;207.6800;
27/02/2017;208.2900;3432985.0000;207.7300;208.3700;207.6100;
24/02/2017;207.9300;3703905.0000;207.0800;207.9500;207.0700;
23/02/2017;207.8200;3168935.0000;208.0600;208.1500;207.2100;
22/02/2017;207.4500;2252696.0000;206.7300;207.5300;206.6400;
21/02/2017;207.0700;3076628.0000;206.5600;207.3000;206.4200;
17/02/2017;205.8800;5747221.0000;205.0300;205.9200;205.0200;
16/02/2017;206.4800;4584714.0000;206.5500;206.7199;205.8500;
15/02/2017;206.3800;3644805.0000;205.3900;206.4900;205.2900;
14/02/2017;205.1700;3586114.0000;204.0600;205.1800;203.9450;
13/02/2017;204.2000;2628252.0000;203.3200;204.4700;203.3200;
10/02/2017;202.7400;2880286.0000;202.3000;203.0000;202.0675;
09/02/2017;201.7200;3481089.0000;200.8200;202.1052;200.7700;
08/02/2017;200.5100;2288150.0000;200.5000;200.6900;200.1500;
07/02/2017;200.5800;2603430.0000;200.8900;201.3001;200.4300;
06/02/2017;200.2800;2770442.0000;200.0300;200.7000;199.7800;
03/02/2017;200.3800;4856075.0000;199.5800;200.5700;199.4400;
02/02/2017;198.6100;2639430.0000;198.1600;198.9700;198.0200;
01/02/2017;198.6300;3664335.0000;199.1300;199.4000;198.2000;
