Date;Open;High;Low;Close;Volume
Jun 14, 2017;2,443.75;2,443.75;2,428.34;2,437.92;2,077,560,864
Jun 13, 2017;2,434.15;2,441.49;2,431.28;2,440.35;2,078,679,924
Jun 12, 2017;2,425.88;2,430.38;2,419.97;2,429.39;2,715,835,496
Jun 9, 2017;2,436.39;2,446.20;2,415.70;2,431.77;2,624,857,734
Jun 8, 2017;2,434.27;2,439.27;2,427.94;2,433.79;2,247,662,987
Jun 7, 2017;2,432.03;2,435.28;2,424.75;2,433.14;2,087,405,916
Jun 6, 2017;2,431.92;2,436.21;2,428.12;2,429.33;1,972,388,344
Jun 5, 2017;2,437.83;2,439.55;2,434.32;2,436.10;1,742,362,529
Jun 2, 2017;2,431.28;2,440.23;2,427.71;2,439.07;2,017,388,178
Jun 1, 2017;2,415.65;2,430.06;2,413.54;2,430.06;2,156,064,796
May 31, 2017;2,415.63;2,415.99;2,403.59;2,411.80;2,610,801,638
May 30, 2017;2,411.67;2,415.26;2,409.43;2,412.91;1,776,698,945
May 26, 2017;2,414.50;2,416.68;2,412.20;2,415.82;1,524,512,471
May 25, 2017;2,409.54;2,418.71;2,408.01;2,415.07;2,010,590,494
May 24, 2017;2,401.41;2,405.58;2,397.99;2,404.39;1,797,590,258
May 23, 2017;2,397.04;2,400.85;2,393.88;2,398.42;1,770,956,038
May 22, 2017;2,387.21;2,395.46;2,386.92;2,394.02;1,858,438,550
May 19, 2017;2,371.37;2,389.06;2,370.43;2,381.73;2,249,727,653
May 18, 2017;2,354.69;2,375.74;2,352.72;2,365.72;2,308,543,266
May 17, 2017;2,382.95;2,384.87;2,356.21;2,357.03;2,717,638,993
May 16, 2017;2,404.55;2,405.77;2,396.05;2,400.67;2,039,120,191
May 15, 2017;2,393.98;2,404.05;2,393.94;2,402.32;1,896,371,278
May 12, 2017;2,392.44;2,392.44;2,387.19;2,390.90;1,786,639,028
May 11, 2017;2,394.84;2,395.72;2,381.74;2,394.44;2,024,699,568
May 10, 2017;2,396.79;2,399.74;2,392.79;2,399.63;1,985,193,441
May 9, 2017;2,401.58;2,403.87;2,392.44;2,396.92;1,855,962,757
May 8, 2017;2,399.94;2,401.36;2,393.92;2,399.38;1,845,375,125
May 5, 2017;2,392.37;2,399.29;2,389.38;2,399.29;1,823,789,877
May 4, 2017;2,389.79;2,391.43;2,380.35;2,389.52;2,236,620,277
May 3, 2017;2,386.50;2,389.82;2,379.75;2,388.13;2,270,224,276
May 2, 2017;2,391.05;2,392.93;2,385.82;2,391.17;2,371,688,652
May 1, 2017;2,388.50;2,394.49;2,384.83;2,388.33;1,893,003,482
Apr 28, 2017;2,393.68;2,393.68;2,382.36;2,384.20;2,239,464,723
Apr 27, 2017;2,389.70;2,392.10;2,382.68;2,388.77;2,205,559,179
Apr 26, 2017;2,388.98;2,398.16;2,386.76;2,387.45;2,223,615,893
Apr 25, 2017;2,381.51;2,392.48;2,381.15;2,388.61;2,304,916,837
Apr 24, 2017;2,370.33;2,376.98;2,369.19;2,374.15;2,248,662,130
Apr 21, 2017;2,354.74;2,356.18;2,344.51;2,348.69;2,071,759,000
Apr 20, 2017;2,342.69;2,361.37;2,340.91;2,355.84;2,089,716,231
Apr 19, 2017;2,346.79;2,352.63;2,335.05;2,338.17;1,946,832,750
Apr 18, 2017;2,342.53;2,348.35;2,334.54;2,342.19;1,903,470,745
Apr 17, 2017;2,332.62;2,349.14;2,332.51;2,349.01;1,626,263,722
Apr 13, 2017;2,341.98;2,348.26;2,328.95;2,328.95;1,764,747,362
Apr 12, 2017;2,352.15;2,352.72;2,341.18;2,344.93;1,897,910,285
Apr 11, 2017;2,353.92;2,355.22;2,337.25;2,353.78;1,817,529,614
Apr 10, 2017;2,357.16;2,366.37;2,351.50;2,357.16;1,620,328,913
Apr 7, 2017;2,356.59;2,363.76;2,350.74;2,355.54;1,730,732,345
Apr 6, 2017;2,353.79;2,364.16;2,348.90;2,357.49;1,936,973,655
Apr 5, 2017;2,366.59;2,378.36;2,350.52;2,352.95;2,104,797,919
Apr 4, 2017;2,354.76;2,360.53;2,350.72;2,360.16;1,820,405,464
Apr 3, 2017;2,362.34;2,365.87;2,344.73;2,358.84;2,182,258,164
Mar 31, 2017;2,364.82;2,370.35;2,362.60;2,362.72;1,997,043,936
Mar 30, 2017;2,361.31;2,370.42;2,358.58;2,368.06;1,848,896,263
Mar 29, 2017;2,356.54;2,363.36;2,352.94;2,361.13;1,734,142,857
Mar 28, 2017;2,339.79;2,363.78;2,337.63;2,358.57;1,951,313,548
Mar 27, 2017;2,329.11;2,344.90;2,322.25;2,341.59;1,931,759,835
Mar 24, 2017;2,350.42;2,356.22;2,335.74;2,343.98;1,920,253,678
Mar 23, 2017;2,345.97;2,358.92;2,342.13;2,345.96;1,918,716,637
Mar 22, 2017;2,343.00;2,351.81;2,336.45;2,348.45;2,138,554,725
Mar 21, 2017;2,379.32;2,381.93;2,341.90;2,344.02;2,637,087,666
