Date	Open	High	Low	Close	Volume
Jun 14, 2017	21,342.71	21,391.97	21,294.09	21,374.56	295,090,639
Jun 13, 2017	21,256.83	21,332.77	21,256.83	21,328.47	323,510,128
Jun 12, 2017	21,259.95	21,277.08	21,186.15	21,235.67	528,076,666
Jun 9, 2017	21,208.96	21,305.35	21,159.45	21,271.97	397,196,391
Jun 8, 2017	21,169.76	21,265.69	21,138.16	21,182.53	330,332,718
Jun 7, 2017	21,171.57	21,189.84	21,113.31	21,173.69	273,397,492
Jun 6, 2017	21,145.48	21,180.47	21,118.46	21,136.23	283,547,160
Jun 5, 2017	21,195.03	21,224.41	21,168.69	21,184.04	269,794,703
Jun 2, 2017	21,142.09	21,225.04	21,129.56	21,206.29	329,700,647
Jun 1, 2017	21,030.55	21,144.18	20,994.22	21,144.18	276,734,620
May 31, 2017	21,048.46	21,051.70	20,942.57	21,008.65	371,582,506
May 30, 2017	21,045.49	21,063.62	21,009.60	21,029.47	242,811,721
May 26, 2017	21,070.15	21,092.82	21,050.49	21,080.28	207,998,354
May 25, 2017	21,062.96	21,112.32	21,051.41	21,082.95	268,967,152
May 24, 2017	20,949.21	21,022.82	20,933.58	21,012.42	283,176,732
May 23, 2017	20,908.67	20,961.14	20,896.22	20,937.91	244,945,777
May 22, 2017	20,867.77	20,914.26	20,860.16	20,894.83	276,120,670
May 19, 2017	20,698.28	20,857.13	20,687.94	20,804.84	365,183,459
May 18, 2017	20,579.65	20,759.20	20,553.45	20,663.02	422,587,957
May 17, 2017	20,846.17	20,846.17	20,601.08	20,606.93	423,200,628
May 16, 2017	20,984.48	21,033.53	20,932.88	20,979.75	311,580,371
May 15, 2017	20,923.63	21,000.83	20,923.63	20,981.94	313,166,214
May 12, 2017	20,893.19	20,916.10	20,869.74	20,896.61	288,496,256
May 11, 2017	20,925.72	20,933.36	20,798.90	20,919.42	287,684,141
May 10, 2017	20,958.49	20,976.28	20,884.15	20,943.11	283,343,448
May 9, 2017	21,022.28	21,046.85	20,938.04	20,975.78	272,996,639
May 8, 2017	20,991.26	21,017.89	20,971.05	21,012.28	276,147,273
May 5, 2017	20,929.04	21,006.94	20,905.00	21,006.94	260,960,208
May 4, 2017	20,987.83	20,990.79	20,847.95	20,951.47	274,723,570
May 3, 2017	20,915.00	20,972.74	20,874.18	20,957.90	310,921,819
May 2, 2017	20,941.19	20,960.92	20,904.06	20,949.89	338,805,620
May 1, 2017	20,962.73	20,976.62	20,898.38	20,913.46	288,161,243
Apr 28, 2017	20,987.39	20,987.76	20,926.75	20,940.51	329,991,681
Apr 27, 2017	20,991.12	21,005.80	20,935.80	20,981.33	305,685,924
Apr 26, 2017	21,009.95	21,070.90	20,972.27	20,975.09	328,547,690
Apr 25, 2017	20,915.51	21,026.97	20,909.38	20,996.12	348,181,609
Apr 24, 2017	20,723.59	20,792.20	20,723.59	20,763.89	342,395,090
Apr 21, 2017	20,578.10	20,601.40	20,505.33	20,547.76	369,603,079
Apr 20, 2017	20,406.68	20,629.78	20,406.68	20,578.71	312,436,599
Apr 19, 2017	20,503.52	20,546.69	20,379.55	20,404.49	294,789,678
Apr 18, 2017	20,561.39	20,600.12	20,462.28	20,523.28	263,175,454
Apr 17, 2017	20,484.75	20,644.41	20,484.75	20,636.92	229,238,670
Apr 13, 2017	20,561.69	20,612.27	20,453.25	20,453.25	235,808,553
Apr 12, 2017	20,637.95	20,642.54	20,553.03	20,591.86	267,670,491
Apr 11, 2017	20,644.32	20,660.03	20,512.56	20,651.30	255,119,217
Apr 10, 2017	20,668.22	20,750.33	20,614.86	20,658.02	230,484,918
Apr 7, 2017	20,647.81	20,726.07	20,606.95	20,656.10	219,733,166
Apr 6, 2017	20,653.77	20,746.46	20,612.17	20,662.95	251,718,184
Apr 5, 2017	20,745.06	20,887.50	20,639.55	20,648.15	284,975,999
Apr 4, 2017	20,634.94	20,701.29	20,605.30	20,689.24	237,391,159
Apr 3, 2017	20,665.17	20,692.34	20,517.82	20,650.21	285,674,859
Mar 31, 2017	20,700.34	20,722.59	20,660.68	20,663.22	303,771,035
Mar 30, 2017	20,662.79	20,753.78	20,643.60	20,728.49	270,904,981
Mar 29, 2017	20,675.75	20,684.73	20,625.03	20,659.32	238,322,624
Mar 28, 2017	20,542.14	20,735.61	20,520.10	20,701.50	299,670,679
Mar 27, 2017	20,488.35	20,578.46	20,412.80	20,550.98	269,378,466
Mar 24, 2017	20,674.45	20,718.33	20,529.67	20,596.72	292,981,459
Mar 23, 2017	20,645.07	20,757.89	20,618.62	20,656.58	280,054,429
Mar 22, 2017	20,640.42	20,686.21	20,578.95	20,661.30	325,088,027
Mar 21, 2017	20,956.33	20,970.04	20,653.26	20,668.01	369,322,276
Mar 20, 2017	20,916.27	20,955.45	20,885.70	20,905.86	253,610,274
Mar 17, 2017	20,965.37	20,980.51	20,911.07	20,914.62	535,281,197
Mar 16, 2017	20,969.27	21,000.11	20,893.50	20,934.55	264,362,267
Mar 15, 2017	20,874.78	20,977.47	20,859.60	20,950.10	306,594,235
Mar 14, 2017	20,848.60	20,874.00	20,786.31	20,837.37	246,820,600
Mar 13, 2017	20,899.28	20,926.06	20,845.71	20,881.48	289,262,675
Mar 10, 2017	20,919.01	20,940.29	20,827.66	20,902.98	315,431,244
Mar 9, 2017	20,864.32	20,900.57	20,777.16	20,858.19	275,962,003
Mar 8, 2017	20,940.44	20,951.44	20,835.58	20,855.73	296,781,864
Mar 7, 2017	20,934.89	20,970.54	20,901.26	20,924.76	274,630,207
Mar 6, 2017	20,955.71	20,986.43	20,912.11	20,954.34	266,621,391
Mar 3, 2017	21,008.75	21,039.96	20,953.86	21,005.71	254,422,385
Mar 2, 2017	21,128.91	21,129.20	20,996.61	21,002.97	319,912,399
Mar 1, 2017	20,957.29	21,169.11	20,957.29	21,115.55	392,823,218
Feb 28, 2017	20,833.88	20,841.24	20,781.21	20,812.24	339,209,839
Feb 27, 2017	20,808.71	20,851.33	20,774.76	20,837.44	256,536,237
Feb 24, 2017	20,751.91	20,821.76	20,733.95	20,821.76	292,539,198
Feb 23, 2017	20,817.21	20,840.70	20,746.41	20,810.32	302,105,606
Feb 22, 2017	20,715.41	20,781.59	20,692.39	20,775.60	310,532,545
Feb 21, 2017	20,663.43	20,757.64	20,663.37	20,743.00	336,880,195
Feb 17, 2017	20,564.13	20,624.05	20,532.61	20,624.05	340,617,992
Feb 16, 2017	20,627.31	20,639.87	20,556.83	20,619.77	354,119,442
Feb 15, 2017	20,504.27	20,620.45	20,496.03	20,611.86	384,384,845
Feb 14, 2017	20,374.22	20,504.41	20,374.02	20,504.41	356,578,298
Feb 13, 2017	20,338.54	20,441.48	20,322.95	20,412.16	314,624,766
Feb 10, 2017	20,211.23	20,298.21	20,204.76	20,269.37	312,233,293
Feb 9, 2017	20,061.73	20,206.36	20,061.73	20,172.40	325,309,253
Feb 8, 2017	20,049.29	20,068.28	20,015.33	20,054.34	280,406,499
Feb 7, 2017	20,107.62	20,155.35	20,068.68	20,090.29	279,669,308
Feb 6, 2017	20,025.61	20,094.95	20,002.81	20,052.42	281,716,573
Feb 3, 2017	19,964.21	20,081.48	19,964.21	20,071.46	344,216,318
Feb 2, 2017	19,858.34	19,922.75	19,831.09	19,884.91	347,222,149
Feb 1, 2017	19,923.81	19,967.73	19,845.99	19,890.94	426,668,818
Jan 31, 2017	19,913.16	19,918.17	19,784.77	19,864.09	373,747,909
Jan 30, 2017	20,028.62	20,028.62	19,870.39	19,971.13	317,276,407
Jan 27, 2017	20,103.36	20,115.97	20,072.64	20,093.78	343,130,866
Jan 26, 2017	20,076.25	20,125.58	20,067.53	20,100.91	356,733,770
Jan 25, 2017	19,994.48	20,082.00	19,994.48	20,068.51	372,239,914
Jan 24, 2017	19,794.68	19,949.24	19,786.71	19,912.71	374,458,880
Jan 23, 2017	19,794.79	19,833.98	19,732.36	19,799.85	326,685,552
Jan 20, 2017	19,795.06	19,843.94	19,759.14	19,827.25	435,257,163
Jan 19, 2017	19,813.55	19,824.14	19,677.94	19,732.40	301,754,396
Jan 18, 2017	19,822.73	19,828.20	19,739.00	19,804.72	279,759,016
Jan 17, 2017	19,848.82	19,882.99	19,775.35	19,826.77	341,900,421
Jan 13, 2017	19,912.54	19,952.03	19,849.38	19,885.73	263,777,999
Jan 12, 2017	19,926.21	19,929.29	19,770.47	19,891.00	306,287,388
Jan 11, 2017	19,887.38	19,973.42	19,833.16	19,954.28	336,148,968
Jan 10, 2017	19,876.35	19,957.12	19,836.03	19,855.53	299,408,292
Jan 9, 2017	19,931.41	19,943.78	19,887.38	19,887.38	287,505,462
Jan 6, 2017	19,906.96	19,999.63	19,834.08	19,963.80	277,701,805
Jan 5, 2017	19,924.56	19,948.60	19,811.12	19,899.29	269,920,430
Jan 4, 2017	19,890.94	19,956.14	19,878.83	19,942.16	280,005,720
Jan 3, 2017	19,872.86	19,938.53	19,775.93	19,881.76	339,176,105
Dec 30, 2016	19,833.17	19,852.55	19,718.67	19,762.60	271,913,288
Dec 29, 2016	19,835.46	19,878.44	19,788.94	19,819.78	172,038,812
Dec 28, 2016	19,964.31	19,981.11	19,827.31	19,833.68	188,346,538
Dec 27, 2016	19,943.46	19,980.24	19,939.80	19,945.04	158,540,483
Dec 23, 2016	19,908.61	19,934.15	19,899.06	19,933.81	158,263,813
Dec 22, 2016	19,922.68	19,933.83	19,882.19	19,918.88	258,294,469
Dec 21, 2016	19,968.97	19,986.56	19,941.96	19,941.96	256,639,155
Dec 20, 2016	19,920.59	19,987.63	19,920.42	19,974.62	284,080,154
Dec 19, 2016	19,836.66	19,917.78	19,832.95	19,883.06	302,308,510
Dec 16, 2016	19,909.01	19,923.17	19,821.00	19,843.41	573,469,787
Dec 15, 2016	19,811.50	19,951.29	19,811.50	19,852.24	357,349,616
Dec 14, 2016	19,876.13	19,966.43	19,748.67	19,792.53	408,432,850
Dec 13, 2016	19,852.21	19,953.75	19,846.45	19,911.21	388,415,682
Dec 12, 2016	19,770.20	19,824.59	19,747.74	19,796.43	333,658,392
Dec 9, 2016	19,631.35	19,757.74	19,623.19	19,756.85	334,466,961
Dec 8, 2016	19,559.94	19,664.97	19,527.83	19,614.81	324,570,856
Dec 7, 2016	19,241.99	19,558.42	19,229.83	19,549.62	385,199,821
Dec 6, 2016	19,219.91	19,255.89	19,184.74	19,251.78	284,956,633
Dec 5, 2016	19,244.35	19,274.85	19,186.73	19,216.24	317,801,044
Dec 2, 2016	19,161.25	19,196.14	19,141.18	19,170.42	84,921,758
Dec 1, 2016	19,149.20	19,214.30	19,138.79	19,191.93	108,803,146
Nov 30, 2016	19,135.64	19,225.29	19,123.38	19,123.58	164,573,915
Nov 29, 2016	19,064.07	19,144.40	19,062.22	19,121.60	81,510,739
Nov 28, 2016	19,122.14	19,138.72	19,072.25	19,097.90	88,461,256
Nov 25, 2016	19,093.72	19,152.14	19,093.72	19,152.14	45,889,433
Nov 23, 2016	19,015.52	19,083.76	19,000.38	19,083.18	77,879,432
Nov 22, 2016	18,970.39	19,043.90	18,962.82	19,023.87	85,308,309
Nov 21, 2016	18,898.68	18,960.76	18,883.10	18,956.69	80,520,707
Nov 18, 2016	18,905.33	18,915.74	18,853.83	18,867.93	109,880,725
Nov 17, 2016	18,866.22	18,904.03	18,845.27	18,903.82	89,925,772
Nov 16, 2016	18,909.85	18,909.85	18,825.89	18,868.14	87,315,034
Nov 15, 2016	18,858.21	18,925.26	18,806.06	18,923.06	100,659,335
Nov 14, 2016	18,876.77	18,934.05	18,815.75	18,868.69	112,252,186
Nov 11, 2016	18,781.65	18,855.78	18,736.96	18,847.66	107,298,169
Nov 10, 2016	18,603.14	18,873.66	18,603.14	18,807.88	164,388,144
Nov 9, 2016	18,317.26	18,650.06	18,252.55	18,589.69	173,105,899
Nov 8, 2016	18,251.38	18,400.50	18,200.75	18,332.74	79,824,161
Nov 7, 2016	17,994.64	18,263.30	17,994.64	18,259.60	93,450,501
Nov 4, 2016	17,928.35	17,986.76	17,883.56	17,888.28	97,757,491
Nov 3, 2016	17,978.75	18,006.96	17,904.07	17,930.67	77,856,619
Nov 2, 2016	18,017.72	18,044.15	17,931.89	17,959.64	88,608,471
