Date	Open	High	Low	Close	Volume
Jun 14, 2017	9,474.07	9,481.01	9,353.10	9,387.33	46,063,304
Jun 13, 2017	9,399.82	9,462.76	9,394.73	9,456.65	52,487,365
Jun 12, 2017	9,322.76	9,393.76	9,283.98	9,388.79	66,909,545
Jun 9, 2017	9,337.75	9,370.52	9,266.61	9,327.88	60,980,399
Jun 8, 2017	9,338.23	9,368.36	9,297.29	9,332.14	54,031,889
Jun 7, 2017	9,270.80	9,354.07	9,225.06	9,334.58	61,720,729
Jun 6, 2017	9,281.52	9,311.89	9,253.62	9,274.40	45,196,330
Jun 5, 2017	9,325.08	9,352.02	9,290.65	9,307.17	50,395,389
Jun 2, 2017	9,302.69	9,406.24	9,295.70	9,331.72	58,576,314
Jun 1, 2017	9,188.45	9,284.33	9,171.84	9,277.44	51,778,915
May 31, 2017	9,172.61	9,184.52	9,087.95	9,163.90	58,410,759
May 30, 2017	9,155.59	9,200.28	9,116.21	9,163.66	52,149,903
May 26, 2017	9,148.55	9,192.03	9,140.91	9,176.20	53,774,562
May 25, 2017	9,049.02	9,175.57	9,039.41	9,163.84	56,558,850
May 24, 2017	9,017.71	9,047.87	9,000.84	9,022.52	41,443,036
May 23, 2017	8,975.37	9,021.30	8,932.79	9,009.67	44,495,716
May 22, 2017	8,898.32	8,974.25	8,898.32	8,964.65	48,348,930
May 19, 2017	8,827.96	8,935.83	8,822.30	8,879.19	49,822,278
May 18, 2017	8,774.48	8,892.45	8,744.36	8,818.58	55,278,955
May 17, 2017	9,004.73	9,004.73	8,775.31	8,783.74	65,535,504
May 16, 2017	9,077.22	9,082.77	9,017.98	9,062.85	51,867,521
May 15, 2017	9,012.23	9,098.97	9,009.74	9,067.23	51,474,274
May 12, 2017	9,010.95	9,044.62	8,980.01	9,001.14	42,047,982
May 11, 2017	9,052.37	9,058.33	8,952.78	9,037.99	57,686,123
May 10, 2017	9,126.56	9,130.96	9,053.18	9,072.35	54,246,129
May 9, 2017	9,095.25	9,154.95	9,095.25	9,130.28	60,159,344
May 8, 2017	9,186.71	9,196.46	9,079.44	9,092.81	54,927,098
May 5, 2017	9,148.55	9,190.76	9,127.97	9,189.97	43,403,390
May 4, 2017	9,140.08	9,196.81	9,089.71	9,138.13	50,516,054
May 3, 2017	9,149.40	9,149.40	9,081.11	9,133.14	47,876,404
May 2, 2017	9,076.00	9,157.96	9,075.09	9,153.97	64,693,748
May 1, 2017	9,113.95	9,131.43	9,062.27	9,070.15	53,657,189
Apr 28, 2017	9,203.01	9,211.24	9,077.34	9,097.63	62,099,947
Apr 27, 2017	9,129.12	9,227.86	9,123.15	9,193.99	93,710,805
Apr 26, 2017	9,225.61	9,275.35	9,166.64	9,167.74	74,685,635
Apr 25, 2017	9,258.38	9,318.20	9,247.78	9,249.42	69,462,109
Apr 24, 2017	9,235.47	9,301.72	9,234.62	9,282.99	66,912,636
Apr 21, 2017	9,142.03	9,157.86	9,085.97	9,133.81	61,925,589
Apr 20, 2017	9,041.29	9,144.97	9,033.43	9,126.13	72,145,361
Apr 19, 2017	8,973.12	9,043.67	8,962.68	8,976.35	52,276,748
Apr 18, 2017	8,968.49	8,991.82	8,903.25	8,933.10	55,629,762
Apr 17, 2017	8,888.33	8,990.66	8,876.88	8,990.42	46,919,955
Apr 13, 2017	8,961.24	8,985.12	8,874.11	8,874.56	58,426,892
Apr 12, 2017	9,155.43	9,163.90	8,968.80	8,971.84	71,090,838
Apr 11, 2017	9,142.52	9,142.52	9,031.83	9,135.58	75,656,175
Apr 10, 2017	9,112.85	9,218.30	9,112.85	9,178.70	53,969,429
Apr 7, 2017	9,123.21	9,139.69	9,075.76	9,104.81	54,543,404
Apr 6, 2017	9,089.34	9,165.18	9,076.45	9,134.17	44,571,292
Apr 5, 2017	9,123.15	9,210.93	9,087.46	9,095.98	53,565,918
Apr 4, 2017	9,073.96	9,104.11	9,052.46	9,100.67	48,820,867
Apr 3, 2017	9,122.91	9,167.07	9,048.23	9,086.24	53,252,743
Mar 31, 2017	9,132.59	9,157.47	9,114.42	9,116.51	48,022,633
Mar 30, 2017	9,072.77	9,165.99	9,072.10	9,151.60	39,260,116
Mar 29, 2017	9,068.02	9,115.64	9,052.02	9,075.39	44,104,703
Mar 28, 2017	8,926.58	9,133.23	8,923.90	9,096.83	61,865,296
Mar 27, 2017	8,855.62	8,957.03	8,798.27	8,935.11	53,168,881
Mar 24, 2017	8,949.55	8,992.81	8,890.37	8,928.78	46,885,625
Mar 23, 2017	8,984.21	9,038.33	8,928.29	8,936.15	50,566,540
Mar 22, 2017	8,951.53	8,993.26	8,903.74	8,987.19	74,027,402
Mar 21, 2017	9,123.88	9,133.32	8,921.00	8,930.66	78,492,576
Mar 20, 2017	9,157.69	9,167.84	9,097.85	9,101.04	52,001,785
Mar 17, 2017	9,190.46	9,196.79	9,129.54	9,145.50	94,018,406
Mar 16, 2017	9,223.90	9,239.91	9,163.87	9,181.08	60,539,024
Mar 15, 2017	9,103.78	9,269.56	9,081.76	9,229.32	93,345,970
Mar 14, 2017	9,231.21	9,231.21	9,097.98	9,123.06	71,450,462
Mar 13, 2017	9,285.30	9,309.25	9,229.33	9,251.68	73,420,599
Mar 10, 2017	9,208.37	9,296.20	9,208.37	9,289.81	69,382,292
Mar 9, 2017	9,270.56	9,307.23	9,179.19	9,208.64	66,117,179
Mar 8, 2017	9,323.31	9,332.05	9,259.89	9,271.47	57,369,150
Mar 7, 2017	9,405.36	9,415.85	9,305.52	9,317.04	67,431,707
Mar 6, 2017	9,446.23	9,447.25	9,362.65	9,420.28	74,583,593
Mar 3, 2017	9,452.62	9,495.37	9,400.83	9,491.61	62,433,887
Mar 2, 2017	9,569.52	9,569.52	9,433.56	9,439.47	57,400,857
Mar 1, 2017	9,481.25	9,639.33	9,481.25	9,593.95	70,776,944
Feb 28, 2017	9,479.37	9,494.49	9,409.96	9,419.86	54,959,311
Feb 27, 2017	9,414.68	9,476.71	9,370.21	9,474.44	52,738,872
Feb 24, 2017	9,288.77	9,421.95	9,262.91	9,421.87	55,998,447
Feb 23, 2017	9,465.97	9,484.72	9,321.67	9,335.80	60,319,531
Feb 22, 2017	9,497.06	9,497.06	9,407.09	9,448.55	54,449,200
Feb 21, 2017	9,496.06	9,541.03	9,484.72	9,531.75	52,270,131
Feb 17, 2017	9,444.28	9,495.57	9,408.22	9,495.39	59,046,314
Feb 16, 2017	9,521.79	9,524.18	9,420.09	9,474.98	69,986,496
Feb 15, 2017	9,457.93	9,566.10	9,451.29	9,554.35	77,616,203
Feb 14, 2017	9,461.62	9,471.12	9,405.56	9,444.22	50,507,020
Feb 13, 2017	9,412.24	9,499.18	9,409.75	9,475.78	49,340,833
Feb 10, 2017	9,360.44	9,411.18	9,349.65	9,393.79	54,082,418
Feb 9, 2017	9,253.56	9,371.98	9,250.96	9,331.17	60,153,341
Feb 8, 2017	9,210.13	9,251.72	9,158.78	9,245.89	52,322,625
Feb 7, 2017	9,244.18	9,276.78	9,197.45	9,213.36	67,339,933
Feb 6, 2017	9,241.63	9,311.77	9,203.13	9,231.82	55,346,302
Feb 3, 2017	9,119.68	9,249.78	9,119.68	9,241.56	52,995,195
Feb 2, 2017	9,126.32	9,162.62	9,047.40	9,103.29	64,112,666
Feb 1, 2017	9,173.43	9,236.71	9,096.19	9,171.39	79,403,121
Jan 31, 2017	9,277.32	9,277.32	9,137.05	9,191.98	97,890,660
Jan 30, 2017	9,368.29	9,368.54	9,216.29	9,329.34	89,213,559
Jan 27, 2017	9,480.68	9,480.68	9,392.23	9,444.28	92,581,311
Jan 26, 2017	9,411.76	9,502.50	9,403.50	9,468.77	98,230,194
Jan 25, 2017	9,323.49	9,428.78	9,318.07	9,421.01	73,818,121
Jan 24, 2017	9,154.40	9,314.13	9,147.70	9,288.59	64,479,202
Jan 23, 2017	9,215.86	9,219.44	9,091.17	9,138.19	68,091,450
Jan 20, 2017	9,165.91	9,227.81	9,135.12	9,224.57	96,241,291
Jan 19, 2017	9,231.18	9,265.19	9,122.04	9,163.96	150,922,067
Jan 18, 2017	9,058.82	9,147.54	9,034.12	9,140.87	71,855,042
Jan 17, 2017	9,169.32	9,188.96	9,079.57	9,099.58	61,288,868
Jan 13, 2017	9,153.18	9,221.95	9,152.02	9,202.34	48,282,950
Jan 12, 2017	9,173.71	9,174.00	9,046.52	9,144.47	64,247,147
Jan 11, 2017	9,124.95	9,195.28	9,107.31	9,186.32	60,883,733
Jan 10, 2017	9,035.74	9,144.40	9,025.08	9,095.07	55,999,873
Jan 9, 2017	9,091.17	9,091.17	9,003.04	9,022.83	45,183,942
Jan 6, 2017	9,052.12	9,145.85	9,014.18	9,104.08	60,393,760
Jan 5, 2017	9,096.83	9,145.72	9,016.01	9,051.76	58,486,607
Jan 4, 2017	9,045.48	9,121.54	9,035.34	9,115.72	55,797,558
Jan 3, 2017	9,081.61	9,170.17	8,980.34	9,023.86	53,524,058
Dec 30, 2016	9,097.14	9,107.15	9,019.41	9,043.90	38,604,824
Dec 29, 2016	9,096.47	9,141.48	9,052.55	9,085.14	29,202,287
Dec 28, 2016	9,198.99	9,237.14	9,084.66	9,088.49	33,007,671
Dec 27, 2016	9,198.50	9,241.84	9,196.00	9,199.23	23,098,013
Dec 23, 2016	9,174.80	9,198.09	9,163.16	9,190.64	26,809,447
Dec 22, 2016	9,220.24	9,225.98	9,138.86	9,159.64	38,660,035
Dec 21, 2016	9,276.04	9,286.71	9,228.67	9,229.44	43,194,328
Dec 20, 2016	9,250.91	9,320.19	9,247.63	9,309.67	44,511,071
Dec 19, 2016	9,169.57	9,233.71	9,169.57	9,232.98	41,552,988
Dec 16, 2016	9,270.01	9,286.98	9,159.09	9,167.49	94,215,857
Dec 15, 2016	9,243.09	9,361.17	9,224.01	9,258.86	69,068,840
Dec 14, 2016	9,346.24	9,362.50	9,207.85	9,218.36	63,189,079
Dec 13, 2016	9,344.75	9,402.41	9,275.56	9,345.85	68,346,537
Dec 12, 2016	9,388.30	9,397.13	9,292.85	9,322.64	65,547,212
Dec 9, 2016	9,443.49	9,490.29	9,379.53	9,407.19	66,351,503
Dec 8, 2016	9,373.65	9,426.72	9,307.15	9,421.08	58,106,752
Dec 7, 2016	9,142.58	9,383.65	9,135.43	9,371.61	75,257,943
Dec 6, 2016	9,084.41	9,144.62	9,046.22	9,140.27	61,445,395
Dec 5, 2016	9,089.28	9,129.70	9,061.50	9,081.61	64,448,715
Dec 2, 2016	9,049.02	9,075.82	9,032.24	9,048.96	16,432,799
Dec 1, 2016	8,976.96	9,074.63	8,976.96	9,037.20	17,273,860
Nov 30, 2016	8,918.72	9,042.65	8,906.36	8,981.65	23,185,722
