Date	Open	High	Low	Close	Volume
Jun 14, 2017	6,237.46	6,237.53	6,153.55	6,194.89	-
Jun 13, 2017	6,206.12	6,226.41	6,180.04	6,220.37	-
Jun 12, 2017	6,153.56	6,183.81	6,110.66	6,175.46	-
Jun 9, 2017	6,330.25	6,341.70	6,137.68	6,207.92	-
Jun 8, 2017	6,311.73	6,324.06	6,282.93	6,321.76	-
Jun 7, 2017	6,290.44	6,302.78	6,267.18	6,297.38	-
Jun 6, 2017	6,281.88	6,304.21	6,269.86	6,275.06	-
Jun 5, 2017	6,305.47	6,310.62	6,292.14	6,295.68	-
Jun 2, 2017	6,261.59	6,308.76	6,253.77	6,305.80	-
Jun 1, 2017	6,215.91	6,247.07	6,200.45	6,246.83	-
May 31, 2017	6,221.63	6,221.99	6,164.07	6,198.52	-
May 30, 2017	6,204.18	6,217.13	6,200.41	6,203.19	-
May 26, 2017	6,207.04	6,211.52	6,196.66	6,210.19	-
May 25, 2017	6,183.02	6,217.34	6,174.52	6,205.26	-
May 24, 2017	6,154.18	6,166.09	6,139.33	6,163.02	-
May 23, 2017	6,149.55	6,150.91	6,121.79	6,138.71	-
May 22, 2017	6,098.25	6,135.92	6,097.24	6,133.62	-
May 19, 2017	6,070.23	6,106.55	6,070.23	6,083.70	-
May 18, 2017	5,998.46	6,073.45	5,996.81	6,055.13	-
May 17, 2017	6,108.62	6,122.87	6,009.48	6,011.24	-
May 16, 2017	6,160.52	6,170.16	6,139.10	6,169.87	-
May 15, 2017	6,128.11	6,153.04	6,124.79	6,149.67	-
May 12, 2017	6,119.27	6,122.84	6,105.42	6,121.23	-
May 11, 2017	6,110.05	6,120.20	6,075.68	6,115.96	-
May 10, 2017	6,121.64	6,131.64	6,103.87	6,129.14	-
May 9, 2017	6,111.82	6,133.00	6,107.59	6,120.59	-
May 8, 2017	6,100.66	6,106.12	6,083.06	6,102.66	-
May 5, 2017	6,091.69	6,100.76	6,067.16	6,100.76	-
May 4, 2017	6,075.06	6,080.82	6,054.33	6,075.34	-
May 3, 2017	6,075.04	6,076.96	6,053.28	6,072.55	
May 2, 2017	6,102.51	6,102.72	6,081.56	6,095.37	-
May 1, 2017	6,067.56	6,100.73	6,061.35	6,091.60	-
Apr 28, 2017	6,072.87	6,074.04	6,040.71	6,047.61	-
Apr 27, 2017	6,038.47	6,050.70	6,031.59	6,048.94	-
Apr 26, 2017	6,028.12	6,040.89	6,021.72	6,025.23	-
Apr 25, 2017	6,004.16	6,036.02	6,002.65	6,025.49	-
Apr 24, 2017	5,979.96	5,989.92	5,970.25	5,983.82	-
Apr 21, 2017	5,919.02	5,919.23	5,899.43	5,910.52	-
Apr 20, 2017	5,887.87	5,926.23	5,880.20	5,916.78	-
Apr 19, 2017	5,874.43	5,894.67	5,856.34	5,863.03	-
Apr 18, 2017	5,838.59	5,860.04	5,828.57	5,849.47	-
Apr 17, 2017	5,821.55	5,856.79	5,818.20	5,856.79	-
Apr 13, 2017	5,828.37	5,856.54	5,805.15	5,805.15	-
Apr 12, 2017	5,863.59	5,868.09	5,830.44	5,836.16	-
Apr 11, 2017	5,871.16	5,878.94	5,819.29	5,866.77	-
Apr 10, 2017	5,883.43	5,907.85	5,865.56	5,880.93	-
Apr 7, 2017	5,873.94	5,892.07	5,855.51	5,877.81	-
Apr 6, 2017	5,870.52	5,889.58	5,856.22	5,878.95	-
Apr 5, 2017	5,911.92	5,936.39	5,856.26	5,864.48	-
Apr 4, 2017	5,878.76	5,901.39	5,878.76	5,898.61	-
Apr 3, 2017	5,917.32	5,928.93	5,867.73	5,894.68	-
Mar 31, 2017	5,905.63	5,927.81	5,901.77	5,911.74	-
Mar 30, 2017	5,896.15	5,916.77	5,894.00	5,914.34	-
Mar 29, 2017	5,875.35	5,900.87	5,870.93	5,897.55	-
Mar 28, 2017	5,836.50	5,888.70	5,828.86	5,875.14	-
Mar 27, 2017	5,776.33	5,849.20	5,769.39	5,840.37	-
Mar 24, 2017	5,839.33	5,858.95	5,807.83	5,828.74	-
Mar 23, 2017	5,812.31	5,842.82	5,806.98	5,817.69	-
Mar 22, 2017	5,790.59	5,825.67	5,781.80	5,821.64	-
Mar 21, 2017	5,923.42	5,928.06	5,790.73	5,793.83	
Mar 20, 2017	5,898.81	5,915.12	5,888.12	5,901.53	-
Mar 17, 2017	5,898.58	5,912.61	5,890.42	5,901.00	-
Mar 16, 2017	5,907.86	5,911.48	5,887.24	5,900.76	-
Mar 15, 2017	5,869.97	5,911.20	5,858.16	5,900.05	-
Mar 14, 2017	5,860.07	5,860.50	5,831.88	5,856.82	-
Mar 13, 2017	5,863.48	5,877.43	5,860.83	5,875.78	-
Mar 10, 2017	5,867.16	5,872.60	5,835.44	5,861.73	-
Mar 9, 2017	5,834.67	5,852.54	5,812.08	5,838.81	-
Mar 8, 2017	5,838.44	5,860.63	5,832.63	5,837.55	-
Mar 7, 2017	5,836.12	5,859.77	5,826.32	5,833.93	-
Mar 6, 2017	5,846.42	5,857.74	5,827.46	5,849.17	-
Mar 3, 2017	5,854.27	5,870.75	5,841.47	5,870.75	-
Mar 2, 2017	5,897.01	5,897.01	5,856.30	5,861.22	-
Mar 1, 2017	5,874.86	5,911.79	5,865.79	5,904.03	-
Feb 28, 2017	5,852.79	5,855.07	5,817.22	5,825.44	-
Feb 27, 2017	5,835.04	5,861.90	5,827.00	5,861.90	-
Feb 24, 2017	5,802.33	5,845.31	5,800.55	5,845.31	-
Feb 23, 2017	5,866.82	5,866.96	5,809.55	5,835.51	-
Feb 22, 2017	5,857.56	5,864.41	5,848.28	5,860.63	-
Feb 21, 2017	5,850.20	5,867.89	5,847.50	5,865.95	-
Feb 17, 2017	5,807.31	5,838.58	5,800.80	5,838.58	-
Feb 16, 2017	5,823.01	5,835.15	5,796.71	5,814.90	-
Feb 15, 2017	5,777.90	5,821.95	5,776.70	5,819.44	-
Feb 14, 2017	5,756.51	5,783.09	5,748.74	5,782.57	-
Feb 13, 2017	5,753.19	5,770.99	5,751.92	5,763.96	-
Feb 10, 2017	5,726.17	5,743.43	5,717.42	5,734.13	-
Feb 9, 2017	5,688.02	5,722.71	5,685.15	5,715.18	-
Feb 8, 2017	5,662.95	5,686.96	5,649.39	5,682.45	-
Feb 7, 2017	5,674.86	5,689.60	5,664.82	5,674.22	-
Feb 6, 2017	5,656.95	5,668.20	5,650.26	5,663.55	
Feb 3, 2017	5,650.73	5,666.84	5,647.58	5,666.77	-
Feb 2, 2017	5,627.15	5,656.01	5,616.40	5,636.20	-
Feb 1, 2017	5,654.51	5,662.11	5,621.03	5,642.65	-
Jan 31, 2017	5,592.87	5,615.15	5,576.09	5,614.79	-
Jan 30, 2017	5,635.86	5,636.09	5,578.76	5,613.71	-
Jan 27, 2017	5,664.88	5,667.45	5,643.90	5,660.78	-
Jan 26, 2017	5,666.28	5,669.61	5,647.65	5,655.18	-
Jan 25, 2017	5,635.86	5,658.59	5,634.33	5,656.34	-
Jan 24, 2017	5,568.27	5,606.53	5,558.49	5,600.96	-
Jan 23, 2017	5,546.64	5,564.14	5,522.69	5,552.94	-
Jan 20, 2017	5,556.87	5,574.35	5,542.23	5,555.33	-
Jan 19, 2017	5,560.61	5,571.53	5,528.37	5,540.08	-
Jan 18, 2017	5,546.94	5,555.98	5,534.77	5,555.65	-
Jan 17, 2017	5,555.16	5,557.05	5,527.22	5,538.73	-
Jan 13, 2017	5,557.57	5,584.26	5,557.20	5,574.12	-
Jan 12, 2017	5,542.56	5,550.67	5,496.82	5,547.49	-
Jan 11, 2017	5,550.72	5,564.08	5,524.03	5,563.65	-
Jan 10, 2017	5,536.54	5,564.25	5,528.11	5,551.82	-
Jan 9, 2017	5,527.58	5,541.08	5,517.14	5,531.82	-
Jan 6, 2017	5,499.08	5,536.52	5,482.81	5,521.06	-
Jan 5, 2017	5,474.39	5,495.85	5,464.36	5,487.94	-
Jan 4, 2017	5,440.91	5,482.35	5,440.24	5,477.00	-
Jan 3, 2017	5,425.62	5,452.57	5,397.99	5,429.08	-
Dec 30, 2016	5,440.17	5,441.90	5,371.89	5,383.12	-
Dec 29, 2016	5,437.51	5,450.63	5,415.18	5,432.09	-
Dec 28, 2016	5,497.44	5,498.91	5,434.70	5,438.56	-
Dec 27, 2016	5,470.76	5,512.37	5,469.61	5,487.44	-
Dec 23, 2016	5,441.76	5,462.69	5,441.76	5,462.69	-
Dec 22, 2016	5,472.01	5,472.01	5,432.77	5,447.42	-
Dec 21, 2016	5,482.63	5,486.26	5,465.31	5,471.43	-
Dec 20, 2016	5,473.53	5,489.47	5,471.71	5,483.94	-
Dec 19, 2016	5,441.20	5,483.42	5,436.54	5,457.44	-
Dec 16, 2016	5,467.82	5,474.58	5,426.01	5,437.16	-
Dec 15, 2016	5,443.51	5,485.12	5,439.39	5,456.85	-
Dec 14, 2016	5,465.69	5,476.25	5,425.73	5,436.67	-
Dec 13, 2016	5,433.57	5,486.75	5,430.72	5,463.83	-
Dec 12, 2016	5,428.22	5,434.90	5,394.42	5,412.54	-
Dec 9, 2016	5,436.11	5,450.16	5,427.12	5,444.50	-
Dec 8, 2016	5,394.15	5,425.52	5,389.10	5,417.36	-
Dec 7, 2016	5,322.67	5,397.93	5,307.31	5,393.76	-
Dec 6, 2016	5,317.74	5,333.99	5,299.94	5,333.00	-
Dec 5, 2016	5,283.58	5,321.09	5,269.57	5,308.89	-
Dec 2, 2016	5,249.02	5,274.54	5,239.27	5,255.65	-
Dec 1, 2016	5,323.88	5,326.34	5,238.21	5,251.11	-
Nov 30, 2016	5,391.35	5,393.15	5,323.68	5,323.68	-
Nov 29, 2016	5,370.98	5,403.86	5,360.56	5,379.92	-
Nov 28, 2016	5,387.92	5,396.27	5,364.91	5,368.81	-
Nov 25, 2016	5,388.49	5,398.92	5,379.28	5,398.92	-
Nov 23, 2016	5,366.55	5,380.68	5,350.68	5,380.68	-
Nov 22, 2016	5,384.75	5,392.26	5,365.60	5,386.35	-
Nov 21, 2016	5,336.78	5,369.83	5,334.16	5,368.86	-
Nov 18, 2016	5,340.97	5,346.80	5,315.53	5,321.51	-
Nov 17, 2016	5,295.07	5,334.05	5,288.16	5,333.97	-
Nov 16, 2016	5,253.74	5,299.63	5,251.88	5,294.58	-
Nov 15, 2016	5,241.35	5,287.06	5,236.25	5,275.62	-
Nov 14, 2016	5,246.33	5,247.17	5,192.04	5,218.40	-
Nov 11, 2016	5,191.82	5,241.08	5,179.64	5,237.11	-
Nov 10, 2016	5,283.48	5,302.68	5,145.32	5,208.80	-
Nov 9, 2016	5,143.86	5,258.99	5,143.86	5,251.07	-
Nov 8, 2016	5,154.99	5,214.17	5,145.30	5,193.49	-
Nov 7, 2016	5,128.99	5,169.41	5,122.77	5,166.17	-
Nov 4, 2016	5,034.41	5,087.51	5,034.41	5,046.37	-
Nov 3, 2016	5,104.70	5,115.06	5,053.52	5,058.41	-
Nov 2, 2016	5,147.28	5,156.70	5,097.56	5,105.57	-
Nov 1, 2016	5,199.77	5,201.13	5,112.32	5,153.58	-
Oct 31, 2016	5,205.09	5,206.70	5,186.56	5,189.13	-
Oct 28, 2016	5,203.70	5,232.35	5,178.76	5,190.10	-
Oct 27, 2016	5,272.19	5,274.12	5,211.75	5,215.97	-
Oct 26, 2016	5,256.40	5,280.85	5,237.05	5,250.27	-
Oct 25, 2016	5,306.47	5,310.27	5,278.57	5,283.40	-
Oct 24, 2016	5,290.31	5,311.50	5,289.23	5,309.83	-
Oct 21, 2016	5,238.65	5,259.13	5,225.76	5,257.40	-
Oct 20, 2016	5,238.20	5,252.10	5,216.04	5,241.83	-
Oct 19, 2016	5,240.33	5,253.83	5,234.25	5,246.41	-
Oct 18, 2016	5,255.32	5,264.27	5,239.44	5,243.84	-
Oct 17, 2016	5,213.69	5,219.98	5,196.03	5,199.82	-
Oct 14, 2016	5,241.26	5,258.88	5,213.37	5,214.16	-
Oct 13, 2016	5,200.30	5,228.26	5,169.76	5,213.33	-
Oct 12, 2016	5,247.91	5,257.18	5,228.77	5,239.02	-
Oct 11, 2016	5,321.82	5,321.82	5,227.43	5,246.79	-
Oct 10, 2016	5,318.46	5,340.52	5,317.73	5,328.67	-
Oct 7, 2016	5,314.92	5,315.65	5,266.80	5,292.40	-
Oct 6, 2016	5,306.59	5,315.73	5,281.47	5,306.85	-
Oct 5, 2016	5,305.28	5,330.81	5,304.06	5,316.02	-
Oct 4, 2016	5,313.49	5,323.60	5,271.70	5,289.66	-
Oct 3, 2016	5,300.29	5,308.60	5,281.95	5,300.87	-
Sep 30, 2016	5,288.87	5,325.88	5,277.88	5,312.00	-
Sep 29, 2016	5,311.31	5,317.00	5,254.52	5,269.15	-
Sep 28, 2016	5,312.73	5,320.62	5,284.84	5,318.55	-
Sep 27, 2016	5,254.18	5,306.81	5,251.32	5,305.71	-
Sep 26, 2016	5,275.73	5,282.27	5,254.96	5,257.49	-
Sep 23, 2016	5,327.43	5,329.71	5,301.63	5,305.75	-
Sep 22, 2016	5,323.26	5,342.88	5,320.93	5,339.52	-
Sep 21, 2016	5,263.65	5,299.40	5,233.94	5,295.18	-
Sep 20, 2016	5,256.19	5,265.18	5,235.42	5,241.35	-
Sep 19, 2016	5,263.55	5,281.07	5,222.91	5,235.03	-
Sep 16, 2016	5,238.71	5,248.60	5,218.97	5,244.57	-
Sep 15, 2016	5,178.10	5,254.78	5,176.25	5,249.69	-
